key	value
GAME_LOADING	Loading...
EXP_COUNTER_MAX	MAX
COMBAT_ELEMENT_NORMAL_NAME	Normal
MAIN_MENU_BUTTON_SINGLEPLAY	Singleplayer
MAIN_MENU_BUTTON_SINGLEPLAY_TOOLTIP	Start a Singleplayer Game.
MAIN_MENU_BUTTON_MULTIPLAY	Multiplayer
MAIN_MENU_BUTTON_MULTIPLAY_TOOLTIP	Start a Netplay Game.
MAIN_MENU_BUTTON_MULTIPLAY_DISABLED_TOOLTIP	Multiplayer is disabled on this demo.
MAIN_MENU_BUTTON_SETTINGS	Settings
MAIN_MENU_BUTTON_SETTINGS_TOOLTIP	Configure Game Settings.
MAIN_MENU_BUTTON_QUIT	Quit
MAIN_MENU_BUTTON_QUIT_TOOLTIP	End The Application.
CHARACTER_SELECT_HEADER	Character Select
CHARACTER_SELECT_HEADER_GAME_MODE_SINGLEPLAYER	Singleplayer
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PUBLIC	Host Game (Public)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_FRIENDS	Host Game (Friends)
CHARACTER_SELECT_HEADER_GAME_MODE_HOST_MULTIPLAYER_PRIVATE	Host Game (Private)
CHARACTER_SELECT_HEADER_GAME_MODE_JOIN_MULTIPLAYER	Join Game
CHARACTER_SELECT_HEADER_GAME_MODE_LOBBY_QUERY	Lobby Query
CHARACTER_SELECT_BUTTON_CREATE_CHARACTER	Create Character
CHARACTER_SELECT_BUTTON_DELETE_CHARACTER	Delete Character
CHARACTER_SELECT_BUTTON_SELECT_CHARACTER	Select Character
CHARACTER_SELECT_BUTTON_RETURN	Return
CHARACTER_SELECT_DATA_ENTRY_EMPTY_SLOT	Empty Slot
FORMAT_CHARACTER_SELECT_DATA_ENTRY_INFO	Lv-{0} {1} {2}
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_TEXT	Type in the character's name to confirm.
CHARACTER_SELECT_CHARACTER_DELETE_PROMPT_PLACEHOLDER_TEXT	Enter Nickname...
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_CONFIRM	Delete Character
CHARACTER_SELECT_CHARACTER_DELETE_BUTTON_RETURN	Return
CHARACTER_CREATION_HEADER	Character Creation
CHARACTER_CREATION_HEADER_RACE_NAME	Race Select
CHARACTER_CREATION_RACE_DESCRIPTOR_HEADER_INITIAL_SKILL	Initial Skill
CHARACTER_CREATION_BUTTON_SET_TO_DEFAULTS	Defaults
CHARACTER_CREATION_CHARACTER_NAME_PLACEHOLDER_TEXT	Enter Name...
CHARACTER_CREATION_BUTTON_CREATE_CHARACTER	Create Character
CHARACTER_CREATION_BUTTON_RETURN	Return
CHARACTER_CREATION_CUSTOMIZER_HEADER_COLOR	Color
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_HEADER	Body
CHARACTER_CREATION_CUSTOMIZER_COLOR_BODY_TEXTURE	Texture
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_HEADER	Hair
CHARACTER_CREATION_CUSTOMIZER_COLOR_HAIR_LOCK_COLOR	Lock Color
CHARACTER_CREATION_CUSTOMIZER_HEADER_HEAD	Head
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_WIDTH	Head Width
CHARACTER_CREATION_CUSTOMIZER_HEAD_HEAD_MOD	Modify
CHARACTER_CREATION_CUSTOMIZER_HEAD_VOICE_PITCH	Voice Pitch
